"title","price","address","phoneNumber","noOfBedRooms","noOfBadRooms","imageUrl","description"
"6 bedroom detached duplex for sale","₦1300000000 ","Maitama Main, Maitama District, Abuja","09059561479","6 Bedrooms","6 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302480/066697ca075083-well-built-6bedroom-detached-duplex-with-swimming-pool-in-maitama-main-detached-duplexes-for-sale-maitama-district-abuja.jpeg","*outright sale... in maitama main* luxury 6 bedroom fully detached duplex with bq and swimming pool. price: n1.3b net. (two time installment payment is acceptable) location: maitama main, abuja professional fees 5% applies. plot size:600sqm plus additional 400sqm behind with approval for annex from development contr...More details  Added Today"
"4 bedroom terraced duplex for sale","₦300000000 ","Harold Shodipo Crescent, Ikeja GRA, Ikeja, Lagos","09087504002","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1655949/0640b459d663a3-luxury-4-bedrooms-terrace-with-1-room-bq-for-sale-ikeja-lagos.png","Affordable units of luxury 4 bedrooms terraces for sale in highbrow area of lagos state. the project is ongoing, call now for more details:09087504002; 09087504003; 09087504004; 09087504005; 09087504...More details"
"4 bedroom terraced duplex for sale","₦800000000 ","Plot 3, Block 8, Foreshore Road, Ikoyi, Lagos","09087504002","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1660179/065c21ed4e3eab-4-bedrooms-luxury-terrace-with-1-room-bq-terraced-duplexes-for-sale-ikoyi-lagos.JPG","4 bedroom terrace with 1 room bq is available for sale at dan & dan apartments by the address homes.dan & dan apartments is a distinctive, masterfully crafted architectural masterpiece nestled in the highbrow urban centre of ikoyi. the estate consists of terraces, penthouses, and terrace duplex, designed to offer the very best in terms of quality, luxury and comfort. an initial deposit of 30% will secure you a unit. the project is ongoing, call now for more details: 09087504002; 09087504003; 09087504004; 09087504005; 09087504...More details"
"4 bedroom house for sale","₦1800000000 ","Ikoyi, Lagos","09087504002","4 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1735445/065c21e2cd077b-luxurious-sapcious-4-bedroom-house-with-bq-and-dedicated-pool-for-sale-ikoyi-lagos.JPG","4 bedroom luxurious & spacious with 1 room bq is available for sale at dan & dan apartments by the address homes.dan & dan apartments is a distinctive, masterfully crafted architectural masterpiece nestled in the highbrow urban centre of ikoyi. the estate consists of terraces, penthouses, and maisonettes, designed to offer the very best in terms of quality, luxury and comfort. an initial deposit of 30% will secure you a unit. the project is ongoing, call now for more details: 09087504002; 09087504003; 09087504004; 09087504005; 09087504...More details"
"5 bedroom house for sale","₦3500000000 ","Ikoyi, Lagos","09087504002","5 Bedrooms","2 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1735498/06462118249e86-luxury-5-bedrooms-penthouse-with-bq-for-sale-ikoyi-lagos.jpg","Luxury 5 bedrooms penthouse with bq for sale on alexander road bourdillon ikoyi lagos selling for 2.8 billion naira. take advantage of this opportunity to own a portion of this property on alexander road, ikoyi. an initial deposit of 30% will secure you a unit. the project is ongoing, call now for more details: 09087504002; 09087504003; 09087504004; 09087504005; 09087504...More details"
"4 bedroom house for sale","₦1000000000 ","Alexander, Ikoyi, Lagos","09087504002","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1866790/064db6bb09fcad-luxury-4-bedroom-maisonette-for-sale-ikoyi-lagos.JPG","Descriptionintroducing luxuria by the address homes on alexander road, ikoyi.we don't just build, we deliver your dream home, that will be unrivaled in every aspect.take advantage of this opportunity to own a portion of this property on alexander road, ikoyi.with an initial 40% deposit, you can be a proud owner of this breathtaking luxury home tagged ""luxuria""4 bedroom maisonette -- $1.1mthis architectural 4 bedroom maisonette comprises of the following :four (4) bedroom ensuite.four (4) sitting rooms.luxury wet and dry kitchens (2 kitchens).one (1) maids room.innovative lighting systemfeatures:three (3) carportsadult pool and children pool.lounge overlooking lobby.spagym24hour of power.2 general lifts per tower2 semi lift per towerpayment details:30% initial deposit and spread subsequent payments over construction period.for more information contact:0908 750 40020908 750 40030908 750 40040908 750 40050908 750 4...More details"
"5 bedroom detached duplex for sale","₦1000000000 ","Katampe, Abuja","09087504002","5 Bedrooms","6 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1949397/0652411768f617-beautiful-5-bedrooms-luxury-detached-duplexes-for-sale-katampe-district-abuja.jpeg","Experience the opulence of a unique home, a magnificent architectural project of beautiful and contemporary 3 units of 5-bedroom fully detached houses with 2 servant quarters, in the tranquility of katempe extension.featuring- ample parking space- 2 rooms servant quarters- 1 study room- 3 living rooms- personal swimming pool,- 4-person elevator,- gymnasium area- modern and contemporary fully fitted kitchen- terraces for entertainmentpricesn800m (eight hundred million naira per unit).contact the following for more information0908 750 4002; 0908 750 4003; 0908 750 4004; 0908 750 4005; 0908 750 4...More details"
"4 bedroom terraced duplex for sale","₦800000000 ","Ikoyi, Lagos","09087504002","4 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1991123/065c1f786d87dd-4-bedrooms-terraces-with-1-room-boys-quarter-terraced-duplexes-for-sale-ikoyi-lagos.jpeg","Embrace opulence, elegance, and exclusivity by owning this sophisticated home, a 4-bedroom terrace. the home is stylishly designed to provide the perfect combination of space, comfort, and style, all within a prime location. magnificent luxury home, etched in the highbrow area of ikoyi, with ultra-modern facilities. embrace the allure of luxurious living where aesthetics meets with functionality to create modern elegance.feature amenities include:- wet and dry kitchen-fully secured-ample parking space-double volume master bedroom-communal swimming p...More details"
"5 bedroom detached duplex for sale","₦400000000 ","Osapa, Lekki, Lagos","08103254940","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302475/066697c3150c99-contemporary-5-bedroom-fully-detached-duplex-with-pool-cinema-and-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpg","Contemporary 5 bedroom fully detached duplex with swimming pool, cinema and bq in a secured estate.location: osapa londontitle: governor's consentprice: n400mfeatures-ensuite rooms - aesthetic pop ceilings - spot lighting - chandelier - sound system - spacious living room - cctv cameras - clean water - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 4 parking spaces - gate house - secured estate - good access roads - flood free -swimming pool -cinema------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"6 bedroom detached duplex for sale","₦450000000 ","Efab Metropolis Estate Abuja, Gwarinpa, Abuja","08034480045","6 Bedrooms","7 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2235128/06633f0e440c62-luxury-built-6-bedroom-royal-duplex-with-2-rooms-bq-available-detached-duplexes-for-sale-gwarinpa-abuja.jpg","Property type: tastefully built 6 bedroom fully detached penthouse duplex with 2 rooms bq available in a serene & secured estate...location: efab metropolis estate, gwarimpa ext.price: 450million naira netagency fee: 5%features:6 bedroom duplex3 living rooms2 roooms bqpenthouseswimming poolgazebo/bush barfully fitted kitchen cabinetsfitted wardrobesdining roomspacious masters bedroomjacuzzichandelierslighting systemkitchenettebox roomample parking space for 15 carsgate housestoreuniform security mentarred access roadlandsize: 1000sqm...More details"
"5 bedroom house for sale","₦3500000000 ","Ikoyi, Lagos","09087504002","5 Bedrooms","2 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1735498/06462118249e86-luxury-5-bedrooms-penthouse-with-bq-for-sale-ikoyi-lagos.jpg","Luxury 5 bedrooms penthouse with bq for sale on alexander road bourdillon ikoyi lagos selling for 2.8 billion naira. take advantage of this opportunity to own a portion of this property on alexander road, ikoyi. an initial deposit of 30% will secure you a unit. the project is ongoing, call now for more details: 09087504002; 09087504003; 09087504004; 09087504005; 09087504...More details"
"4 bedroom house for sale","₦1000000000 ","Alexander, Ikoyi, Lagos","09087504002","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1866790/064db6bb09fcad-luxury-4-bedroom-maisonette-for-sale-ikoyi-lagos.JPG","Descriptionintroducing luxuria by the address homes on alexander road, ikoyi.we don't just build, we deliver your dream home, that will be unrivaled in every aspect.take advantage of this opportunity to own a portion of this property on alexander road, ikoyi.with an initial 40% deposit, you can be a proud owner of this breathtaking luxury home tagged ""luxuria""4 bedroom maisonette -- $1.1mthis architectural 4 bedroom maisonette comprises of the following :four (4) bedroom ensuite.four (4) sitting rooms.luxury wet and dry kitchens (2 kitchens).one (1) maids room.innovative lighting systemfeatures:three (3) carportsadult pool and children pool.lounge overlooking lobby.spagym24hour of power.2 general lifts per tower2 semi lift per towerpayment details:30% initial deposit and spread subsequent payments over construction period.for more information contact:0908 750 40020908 750 40030908 750 40040908 750 40050908 750 4...More details"
"5 bedroom detached duplex for sale","₦1000000000 ","Katampe, Abuja","09087504002","5 Bedrooms","6 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1949397/0652411768f617-beautiful-5-bedrooms-luxury-detached-duplexes-for-sale-katampe-district-abuja.jpeg","Experience the opulence of a unique home, a magnificent architectural project of beautiful and contemporary 3 units of 5-bedroom fully detached houses with 2 servant quarters, in the tranquility of katempe extension.featuring- ample parking space- 2 rooms servant quarters- 1 study room- 3 living rooms- personal swimming pool,- 4-person elevator,- gymnasium area- modern and contemporary fully fitted kitchen- terraces for entertainmentpricesn800m (eight hundred million naira per unit).contact the following for more information0908 750 4002; 0908 750 4003; 0908 750 4004; 0908 750 4005; 0908 750 4...More details"
"4 bedroom terraced duplex for sale","₦800000000 ","Ikoyi, Lagos","09087504002","4 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1991123/065c1f786d87dd-4-bedrooms-terraces-with-1-room-boys-quarter-terraced-duplexes-for-sale-ikoyi-lagos.jpeg","Embrace opulence, elegance, and exclusivity by owning this sophisticated home, a 4-bedroom terrace. the home is stylishly designed to provide the perfect combination of space, comfort, and style, all within a prime location. magnificent luxury home, etched in the highbrow area of ikoyi, with ultra-modern facilities. embrace the allure of luxurious living where aesthetics meets with functionality to create modern elegance.feature amenities include:- wet and dry kitchen-fully secured-ample parking space-double volume master bedroom-communal swimming p...More details"
"5 bedroom detached duplex for sale","₦400000000 ","Osapa, Lekki, Lagos","08103254940","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302475/066697c3150c99-contemporary-5-bedroom-fully-detached-duplex-with-pool-cinema-and-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpg","Contemporary 5 bedroom fully detached duplex with swimming pool, cinema and bq in a secured estate.location: osapa londontitle: governor's consentprice: n400mfeatures-ensuite rooms - aesthetic pop ceilings - spot lighting - chandelier - sound system - spacious living room - cctv cameras - clean water - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 4 parking spaces - gate house - secured estate - good access roads - flood free -swimming pool -cinema------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"6 bedroom semi-detached duplex for sale","₦350000000 ","Ikate, Ikate Elegushi, Lekki, Lagos","08132375831","6 Bedrooms","6 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302471/066697bdb6ce24-6-bedroom-semi-detached-duplex-with-a-room-bq-semi-detached-duplexes-for-sale-ikate-elegushi-lekki-lagos.jpg","More details  Added Today"
"2 bedroom block of flats for sale","₦85000000 ","Ologolo, Lekki, Lagos","08138371196","2 Bedrooms","2 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302464/066697b3e40483-fully-furnished-2-bedroom-apartment-block-of-flats-for-sale-ologolo-lekki-lagos.jpg","For sale: fully furnished 2 bedroom apartment .ologolo, lekki, lagosn85,000,000amenities:-all rooms ensuite-balcony-24/7 security-great environment-fitted kitchen-inbuilt gas cooker-modern wares-fridge-washing machine-fully furnished-ample parking space-great for shortlet investmenttitle ; c...More details  Added Today"
"4 bedroom semi-detached duplex for sale","₦120000000 ","Orchid, Lekki, Lagos","09056012672","4 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302470/066697b5202538-luxury-4-bedroom-semidetached-duplex-within-secured-estate-semi-detached-duplexes-for-sale-lekki-lagos.jpeg","Luxury 4 bedroom semidetached duplex at orchid within a secured estate.location: orchid, lekkiprice guide: n120mfeatures-ensuite rooms - family lounge - aesthetic pop ceilings - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 2 parking spaces - gate house - secured estate - good access roads - flood free.title: governor's cons...More details  Added Today"
"4 bedroom house for sale","₦130000000 ","Highcastler Estate, P & T Boystown Ipaja, Lagos State Nigeria, Ipaja, Lagos","07061004366","4 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302468/066697b0c71e65-an-executive-4-bedroom-duplex-including-1-standard-office-for-sale-ipaja-lagos.jpeg","For salean executive 4 bedroom duplex including 1 standard office.facilities*all room ensuit*walk in closet*jaccuzzi in the master bedroom*p. o. p*500 watts monocrystalline solar panels*2 sitting rooms*1 office*secure environment*constantly electricity supplyland size:- 320sqmlocation:- highcastler estate, p & t boystown ipaja, lagos state nigeriadocument; receipt,survey plan and deed of assignment.price:130m️ 070610043...More details  Added Today"
"4 bedroom semi-detached duplex for sale","₦150000000 ","Chevron, Lekki, Lagos","08103254940","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302467/066697b09594c7-lovely-4-bedroom-semidetached-duplex-with-a-bq-in-an-estate-semi-detached-duplexes-for-sale-lekki-lagos.jpg","Lovely 4 bedroom semidetached duplex at chevron with a bq in an estatelocation: chevron, lekkititle: governor's consentprice: n150mrental value: n8m/annumfeatures-ensuite rooms - fitted kitchens - main lounge - family lounge - sitout cover - bar - automation switches - aesthetic pop ceilings - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 3 parking spaces - gate house - secured estate - good access roads - flood free.------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"4 bedroom terraced duplex for sale","₦135000000 ","Orchid, Lekki, Lagos","09056012672","4 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302460/066697ac549307-luxury-4-bedroom-terraced-duplex-with-bq-in-secured-estate-terraced-duplexes-for-sale-lekki-lagos.jpeg","Luxury 4 bedroom terrace duplex with bq in a secured estate.location: orchid, lekkiprice: n135mfeatures--ensuite rooms - aesthetic pop ceilings - spot lighting -chandelier - sound system - spacious living room - cctv cameras - clean water - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 2 parking spaces - gate house - secured estate - good access roads - flood free -bqtitle: governor's cons...More details  Added Today"
"4 bedroom terraced duplex for sale","₦190000000 ","GRA Phase 2, Magodo, Lagos","08171969365","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302459/066697a74822bc-panoramic-newly-built-4-bedroom-terrace-duplex-with-a-bq-terraced-duplexes-for-sale-gra-phase-2-magodo-lagos.jpg","Panoramic newly built 4 bedroom terrace duplex with a bq, study room & a rooftop in a secured estate.featuresbrand newgated estatemodern architecturefantastic serene environmentstudy areaspacious living areajacuzziall rooms ensuitinbuilt pop sound systemsbeautiful woodworksgreat ambiancefully fitted kitchenbeautiful chandeliersbalconyclean waterample car parking spacewater heaterspop ceilingroofttopfamily lounge.title: deed and survey, global cofofor more enquiries, contact stephenwhatsapp: 08171969365phone: 08136522011, 09155232992email: idealplaceprop@gmail....More details  Added Today"
"5 bedroom detached duplex for sale","$1200000 approx. ₦1806000367","Osapa, Lekki, Lagos","09056012672","5 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302455/066697a4c1b215-exquisitely-detailed-5-bedroom-detached-home-with-pool-terracecinema-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg","5 bed osapa london $1.2mexquisitely detailed 5 bedroom detached smart home in osapa london with swimming pool, cinema, open terracelocation: osapa londonprice: $1.2mfeatures--swimming pool - ensuite rooms - full home automation - air conditioner - -cinema - family lounge -bq- adjoining office -open terrace -sitout cover - automation -cinema switches - box room - boy's quarters - aesthetic pop ceilings - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 5 parking spaces - gate house - secured estate - good access roads - flood free.title: governor's cons...More details  Added Today"
"5 bedroom detached duplex for sale","₦650000000 ","Osapa, Lekki, Lagos","08103254940","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302454/066697a408c278-stunning-5-bedroom-fully-detached-duplex-with-pool-and-open-terrace-detached-duplexes-for-sale-osapa-lekki-lagos.jpg","Stunning 5 bedroom fully detached duplex with swimming pool and open terrace in a secured estate.location: osapa londontitle: governor's consentprice: n650mfeatures-ensuite rooms - aesthetic pop ceilings - spot lighting - chandelier - sound system - spacious living room - cctv cameras - clean water - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 4 parking spaces - gate house - secured estate - good access roads - flood free -swimming pool -open terrace------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"5 bedroom detached duplex for sale","₦390000000 ","Osapa, Lekki, Lagos","09056012672","5 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2268044/0664da90c6ee42-contemporary-5-bedroom-detached-home-with-pool-cinema-and-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg","Contemporary 5 bedroom fully detached home with swimming pool, private cinema and a room bq in a well secured estate in osapa.location: osapa londonprice: n390mfeatures-swimming pool - private cinema - fully fitted kitchen - spacious walk-in closet - largest master's suite - ensuite rooms - family lounge - automation switches - bq - aesthetic pop ceilings - spot lighting - rooftop terrace - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in shower - jacuzzi - custom vanity - 4 parking spaces - gate house - secured estate - good access roads - flood free.title: governor's cons...More details"
"4 bedroom house for sale","₦60000000 ","Isheri, Lagos","+2348146454344","4 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302449/0666979a48d603-promo-elegant-4-bedroom-semi-detached-duplex-with-spacious-compound-for-sale-isheri-lagos.jpeg","For sale isheri n60million (slightly negotiable)elegant 4 bedroom semi detached home with spacious compound.featuresnewly builtgated estatefantastic serene environmentspacious living areaall rooms ensuitinbuilt pop sound systemsbeautiful woodworksgreat ambiancefully fitted kitchenbeautiful chandeliersbalconyclean waterample car parking spacewater heaterspop ceilingtitle: deed and survey, global c...More details  Added Today"
